name, mode, blk, cer
lyt,qwerty,1.0,0.0
lyt,qwerty,2.0,0.00625
lyt,qwerty,3.0,0.0
lyt,qwerty,4.0,0.0
lyt,qwerty,5.0,0.0
lyt,sensel,1.0,0.06825396825396825
lyt,sensel,2.0,0.029464285714285714
lyt,sensel,3.0,0.025
lyt,sensel,4.0,0.049107142857142856
lyt,sensel,5.0,0.015151515151515152
lyt,personal,1.0,0.0
lyt,personal,2.0,0.0
lyt,personal,3.0,0.0
lyt,personal,4.0,0.0
lyt,personal,5.0,0.0
zcc,qwerty,1.0,0.0
zcc,qwerty,2.0,0.0
zcc,qwerty,3.0,0.017857142857142856
zcc,qwerty,4.0,0.01
zcc,qwerty,5.0,0.004629629629629629
zcc,sensel,1.0,0.0125
zcc,sensel,2.0,0.0
zcc,sensel,3.0,0.004807692307692308
zcc,sensel,4.0,0.005
zcc,sensel,5.0,0.0
zcc,personal,1.0,0.0
zcc,personal,2.0,0.0
zcc,personal,3.0,0.005434782608695652
zcc,personal,4.0,0.0
zcc,personal,5.0,0.01
lry,qwerty,1.0,0.01875
lry,qwerty,2.0,0.005952380952380952
lry,qwerty,3.0,0.005952380952380952
lry,qwerty,4.0,0.0
lry,qwerty,5.0,0.0
lry,sensel,1.0,0.0
lry,sensel,2.0,0.006578947368421052
lry,sensel,3.0,0.0
lry,sensel,4.0,0.0
lry,sensel,5.0,0.0
lry,personal,1.0,0.0
lry,personal,2.0,0.005208333333333333
lry,personal,3.0,0.0
lry,personal,4.0,0.0
lry,personal,5.0,0.0
jxt,qwerty,1.0,0.0
jxt,qwerty,2.0,0.0
jxt,qwerty,3.0,0.0
jxt,qwerty,4.0,0.0
jxt,qwerty,5.0,0.0
jxt,sensel,1.0,0.0
jxt,sensel,2.0,0.035416666666666666
jxt,sensel,3.0,0.0
jxt,sensel,4.0,0.0
jxt,sensel,5.0,0.0
jxt,personal,1.0,0.0
jxt,personal,2.0,0.018518518518518517
jxt,personal,3.0,0.0
jxt,personal,4.0,0.0
jxt,personal,5.0,0.013888888888888888
ljs,qwerty,1.0,0.0
ljs,qwerty,2.0,0.0
ljs,qwerty,3.0,0.0
ljs,qwerty,4.0,0.0
ljs,qwerty,5.0,0.0
ljs,sensel,1.0,0.0
ljs,sensel,2.0,0.0
ljs,sensel,3.0,0.0
ljs,sensel,4.0,0.0
ljs,sensel,5.0,0.0
ljs,personal,1.0,0.013157894736842105
ljs,personal,2.0,0.0
ljs,personal,3.0,0.0
ljs,personal,4.0,0.01909722222222222
ljs,personal,5.0,0.0
hyx,qwerty,1.0,0.0125
hyx,qwerty,2.0,0.005952380952380952
hyx,qwerty,3.0,0.0
hyx,qwerty,4.0,0.0
hyx,qwerty,5.0,0.013888888888888888
hyx,sensel,1.0,0.019736842105263157
hyx,sensel,2.0,0.0
hyx,sensel,3.0,0.0
hyx,sensel,4.0,0.0
hyx,sensel,5.0,0.0
hyx,personal,1.0,0.0
hyx,personal,2.0,0.0
hyx,personal,3.0,0.0
hyx,personal,4.0,0.0
hyx,personal,5.0,0.0
zfs,qwerty,1.0,0.0
zfs,qwerty,2.0,0.015625
zfs,qwerty,3.0,0.0
zfs,qwerty,4.0,0.0
zfs,qwerty,5.0,0.0
zfs,sensel,1.0,0.0
zfs,sensel,2.0,0.0
zfs,sensel,3.0,0.0
zfs,sensel,4.0,0.0
zfs,sensel,5.0,0.0
zfs,personal,1.0,0.0
zfs,personal,2.0,0.005
zfs,personal,3.0,0.0
zfs,personal,4.0,0.0
zfs,personal,5.0,0.0
lwk,qwerty,1.0,0.037500000000000006
lwk,qwerty,2.0,0.022203947368421052
lwk,qwerty,3.0,0.050699300699300696
lwk,qwerty,4.0,0.04988215488215489
lwk,qwerty,5.0,0.04995666849115125
lwk,sensel,1.0,0.0
lwk,sensel,2.0,0.013157894736842105
lwk,sensel,3.0,0.0
lwk,sensel,4.0,0.0
lwk,sensel,5.0,0.0
lwk,personal,1.0,0.00625
lwk,personal,2.0,0.0
lwk,personal,3.0,0.0
lwk,personal,4.0,0.015
lwk,personal,5.0,0.0
yzj,qwerty,1.0,0.0
yzj,qwerty,2.0,0.013157894736842105
yzj,qwerty,3.0,0.04985475051264525
yzj,qwerty,4.0,0.03963203463203463
yzj,qwerty,5.0,0.0
yzj,sensel,1.0,0.06981481481481482
yzj,sensel,2.0,0.03977272727272727
yzj,sensel,3.0,0.040584415584415584
yzj,sensel,4.0,0.028125
yzj,sensel,5.0,0.028157894736842104
yzj,personal,1.0,0.0
yzj,personal,2.0,0.0
yzj,personal,3.0,0.0
yzj,personal,4.0,0.0
yzj,personal,5.0,0.0
cc1,qwerty,1.0,0.00625
cc1,qwerty,2.0,0.006578947368421052
cc1,qwerty,3.0,0.0
cc1,qwerty,4.0,0.0
cc1,qwerty,5.0,0.0
cc1,sensel,1.0,0.0
cc1,sensel,2.0,0.0
cc1,sensel,3.0,0.019736842105263157
cc1,sensel,4.0,0.0
cc1,sensel,5.0,0.008928571428571428
cc1,personal,1.0,0.0
cc1,personal,2.0,0.0
cc1,personal,3.0,0.0
cc1,personal,4.0,0.0
cc1,personal,5.0,0.0
