name,mode,match_yes,match_no,slct_yes,slct_no,undo,delete
lyt,qwerty,0.6482412060301508,0.005025125628140704,0.2663316582914573,0.0,0.06532663316582915,0.01507537688442211
zcc,qwerty,0.5592417061611374,0.004739336492890996,0.2843601895734597,0.014218009478672985,0.12322274881516587,0.014218009478672985
lry,qwerty,0.5116279069767442,0.009302325581395349,0.33488372093023255,0.004651162790697674,0.11627906976744186,0.023255813953488372
jxt,qwerty,0.6871794871794872,0.0,0.24615384615384617,0.0,0.05128205128205128,0.015384615384615385
ljs,qwerty,0.5211267605633803,0.0,0.3380281690140845,0.0,0.12206572769953052,0.018779342723004695
hyx,qwerty,0.7427184466019418,0.019417475728155338,0.16019417475728157,0.0,0.02912621359223301,0.04854368932038835
zfs,qwerty,0.5641025641025641,0.004273504273504274,0.23504273504273504,0.0,0.1623931623931624,0.03418803418803419
lwk,qwerty,0.4796380090497738,0.049773755656108594,0.27601809954751133,0.00904977375565611,0.18099547511312217,0.004524886877828055
yzj,qwerty,0.5687203791469194,0.02843601895734597,0.24170616113744076,0.009478672985781991,0.15165876777251186,0.0
cc1,qwerty,0.7692307692307693,0.01098901098901099,0.2032967032967033,0.0,0.016483516483516484,0.0
lyt,sensel,0.507177033492823,0.028708133971291867,0.31100478468899523,0.014354066985645933,0.1339712918660287,0.004784688995215311
zcc,sensel,0.7371134020618557,0.0,0.18041237113402062,0.005154639175257732,0.06701030927835051,0.010309278350515464
lry,sensel,0.7035175879396985,0.005025125628140704,0.23618090452261306,0.0,0.01507537688442211,0.04020100502512563
jxt,sensel,0.7448979591836735,0.01020408163265306,0.1836734693877551,0.0,0.04081632653061224,0.02040816326530612
ljs,sensel,0.6770833333333334,0.0,0.2708333333333333,0.0,0.036458333333333336,0.015625
hyx,sensel,0.8253968253968254,0.0,0.13756613756613756,0.005291005291005291,0.010582010582010581,0.021164021164021163
zfs,sensel,0.542016806722689,0.0,0.24369747899159663,0.0,0.18487394957983194,0.029411764705882353
lwk,sensel,0.7244897959183674,0.00510204081632653,0.20918367346938777,0.0,0.04591836734693878,0.015306122448979591
yzj,sensel,0.6,0.03076923076923077,0.26666666666666666,0.020512820512820513,0.08205128205128205,0.0
cc1,sensel,0.8055555555555556,0.011111111111111112,0.17777777777777778,0.0,0.005555555555555556,0.0
lyt,personal,0.7628865979381443,0.0,0.19072164948453607,0.0,0.015463917525773196,0.030927835051546393
zcc,personal,0.7486910994764397,0.0,0.18848167539267016,0.010471204188481676,0.041884816753926704,0.010471204188481676
lry,personal,0.6958762886597938,0.005154639175257732,0.23711340206185566,0.0,0.04639175257731959,0.015463917525773196
jxt,personal,0.7891891891891892,0.010810810810810811,0.17297297297297298,0.0,0.021621621621621623,0.005405405405405406
ljs,personal,0.7659574468085106,0.015957446808510637,0.17553191489361702,0.0,0.03723404255319149,0.005319148936170213
hyx,personal,0.8324324324324325,0.005405405405405406,0.14594594594594595,0.0,0.0,0.016216216216216217
zfs,personal,0.6238532110091743,0.0045871559633027525,0.22935779816513763,0.0,0.09174311926605505,0.05045871559633028
lwk,personal,0.6947368421052632,0.010526315789473684,0.23684210526315788,0.0,0.04736842105263158,0.010526315789473684
yzj,personal,0.8415300546448088,0.0,0.1366120218579235,0.0,0.02185792349726776,0.0
cc1,personal,0.8111111111111111,0.005555555555555556,0.17222222222222222,0.005555555555555556,0.005555555555555556,0.0
