top,name,acc
0,wangchen1,0.8107954545454545
1,wangchen1,0.8999526515151515
2,wangchen1,0.9367897727272727
3,wangchen1,0.9491950757575758
4,wangchen1,0.9615056818181817
0,cai,0.7131508760774339
1,cai,0.8424297018510669
2,cai,0.8825685318637841
3,cai,0.9137699590221846
4,cai,0.9360693090292497
0,luyiqin,0.6974823766364552
1,luyiqin,0.8078961823674815
2,luyiqin,0.8608257804632427
3,luyiqin,0.8910784582990021
4,luyiqin,0.9183145655955323
0,fjy,0.7214931153184165
1,fjy,0.8516924842226048
2,fjy,0.9146407056798622
3,fjy,0.928123207114171
4,fjy,0.9371593516924842
0,lc,0.8155154657170787
1,lc,0.9100335148722245
2,lc,0.9425097751710655
3,lc,0.9483748778103618
4,lc,0.9528173439463763
0,lwk,0.7248969874553612
1,lwk,0.8670085157036902
2,lwk,0.9018313341269115
3,lwk,0.9184140646460947
4,lwk,0.9334630528339896
0,lxy,0.8248285449490269
1,lxy,0.9160982391102872
2,lxy,0.9482437442075997
3,lxy,0.9558063021316033
4,lxy,0.9618628359592215
0,qdn,0.7697205736894164
1,qdn,0.8751810442277801
2,qdn,0.9108423413875937
3,qdn,0.9271760633036596
4,qdn,0.9405556733078988
0,wyd,0.7695286870306919
1,wyd,0.8671949041335569
2,wyd,0.9168686666180652
3,wyd,0.9439427352919735
4,wyd,0.9545727928847416
0,czt,0.7161971894141175
1,czt,0.8504847229321926
2,czt,0.8983471889657151
3,czt,0.9266458607979768
4,czt,0.9432771036795896
0,gsh,0.8644331585845347
1,gsh,0.9457732634338138
2,gsh,0.9608999563128003
3,gsh,0.9698694844910442
4,gsh,0.9728456749672346
0,fsq,0.7311364694923148
1,fsq,0.8648372405941107
2,fsq,0.9088650830616364
3,fsq,0.9353231899808518
4,fsq,0.9455959219582881
