mode,top,name,acc
place,0,wangchen1,0.778125
place,1,wangchen1,0.878125
place,2,wangchen1,0.909375
place,3,wangchen1,0.940625
place,4,wangchen1,0.953125
hover,0,wangchen1,0.9030303030303031
hover,1,wangchen1,0.9666666666666667
hover,2,wangchen1,0.9757575757575757
hover,3,wangchen1,0.9848484848484849
hover,4,wangchen1,0.990909090909091
place,0,cai,0.3630952380952381
place,1,cai,0.47023809523809523
place,2,cai,0.5238095238095238
place,3,cai,0.5625
place,4,cai,0.5922619047619048
hover,0,cai,0.43026706231454004
hover,1,cai,0.5400593471810089
hover,2,cai,0.6231454005934718
hover,3,cai,0.658753709198813
hover,4,cai,0.6973293768545994
place,0,luyiqin,0.4303030303030303
place,1,luyiqin,0.5333333333333333
place,2,luyiqin,0.5757575757575758
place,3,luyiqin,0.6393939393939394
place,4,luyiqin,0.693939393939394
hover,0,luyiqin,0.33534743202416917
hover,1,luyiqin,0.44410876132930516
hover,2,luyiqin,0.49244712990936557
hover,3,luyiqin,0.5226586102719033
hover,4,luyiqin,0.5498489425981873
place,0,fjy,0.5451807228915663
place,1,fjy,0.7078313253012049
place,2,fjy,0.7560240963855421
place,3,fjy,0.8072289156626506
place,4,fjy,0.8343373493975904
hover,0,fjy,0.6220238095238095
hover,1,fjy,0.7559523809523809
hover,2,fjy,0.8065476190476191
hover,3,fjy,0.8452380952380952
hover,4,fjy,0.8541666666666666
place,0,lc,0.5366568914956011
place,1,lc,0.6539589442815249
place,2,lc,0.7243401759530792
place,3,lc,0.7712609970674487
place,4,lc,0.8035190615835777
hover,0,lc,0.8184523809523809
hover,1,lc,0.9136904761904762
hover,2,lc,0.9375
hover,3,lc,0.9583333333333334
hover,4,lc,0.9642857142857143
place,0,lwk,0.4955223880597015
place,1,lwk,0.6208955223880597
place,2,lwk,0.6865671641791045
place,3,lwk,0.7492537313432835
place,4,lwk,0.7850746268656716
hover,0,lwk,0.3895705521472393
hover,1,lwk,0.5214723926380368
hover,2,lwk,0.5858895705521472
hover,3,lwk,0.6349693251533742
hover,4,lwk,0.6779141104294478
place,0,lxy,0.09846153846153846
place,1,lxy,0.18461538461538463
place,2,lxy,0.23384615384615384
place,3,lxy,0.25846153846153846
place,4,lxy,0.3169230769230769
hover,0,lxy,0.5210843373493976
hover,1,lxy,0.6355421686746988
hover,2,lxy,0.6957831325301205
hover,3,lxy,0.7740963855421686
hover,4,lxy,0.8162650602409639
place,0,qdn,0.4107142857142857
place,1,qdn,0.5327380952380952
place,2,qdn,0.5803571428571429
place,3,qdn,0.6011904761904762
place,4,qdn,0.6220238095238095
hover,0,qdn,0.7032640949554896
hover,1,qdn,0.8041543026706232
hover,2,qdn,0.8664688427299704
hover,3,qdn,0.9050445103857567
hover,4,qdn,0.9198813056379822
place,0,wyd,0.18604651162790697
place,1,wyd,0.2616279069767442
place,2,wyd,0.32848837209302323
place,3,wyd,0.38953488372093026
place,4,wyd,0.4273255813953488
hover,0,wyd,0.658307210031348
hover,1,wyd,0.7523510971786834
hover,2,wyd,0.8025078369905956
hover,3,wyd,0.8432601880877743
hover,4,wyd,0.8746081504702194
place,0,czt,0.2873900293255132
place,1,czt,0.3870967741935484
place,2,czt,0.4252199413489736
place,3,czt,0.4662756598240469
place,4,czt,0.5131964809384164
hover,0,czt,0.42201834862385323
hover,1,czt,0.5259938837920489
hover,2,czt,0.6055045871559633
hover,3,czt,0.654434250764526
hover,4,czt,0.6880733944954128
place,0,gsh,0.8746177370030581
place,1,gsh,0.9357798165137615
place,2,gsh,0.9724770642201835
place,3,gsh,0.9724770642201835
place,4,gsh,0.9785932721712538
hover,0,gsh,0.8273809523809523
hover,1,gsh,0.8988095238095238
hover,2,gsh,0.9434523809523809
hover,3,gsh,0.9613095238095238
hover,4,gsh,0.9702380952380952
place,0,fsq,0.32448377581120946
place,1,fsq,0.4336283185840708
place,2,fsq,0.49557522123893805
place,3,fsq,0.5693215339233039
place,4,fsq,0.5988200589970502
hover,0,fsq,0.6871345029239766
hover,1,fsq,0.8157894736842105
hover,2,fsq,0.8625730994152047
hover,3,fsq,0.8888888888888888
hover,4,fsq,0.9064327485380117
