place,top,name,acc
place,0,czt,0.687
place,1,czt,0.8018
place,2,czt,0.8506666666666667
place,3,czt,0.8778
place,4,czt,0.8926
place,0,fjy,0.7402666666666666
place,1,fjy,0.8454666666666667
place,2,fjy,0.8888
place,3,fjy,0.9104
place,4,fjy,0.9229333333333334
place,0,fsq,0.6542666666666667
place,1,fsq,0.7726
place,2,fsq,0.8241333333333334
place,3,fsq,0.8510666666666666
place,4,fsq,0.8705333333333334
place,0,gsh,0.8979333333333334
place,1,gsh,0.9620666666666666
place,2,gsh,0.9758666666666667
place,3,gsh,0.9812
place,4,gsh,0.9825333333333334
place,0,lc,0.6752
place,1,lc,0.7852666666666667
place,2,lc,0.8344
place,3,lc,0.8621333333333333
place,4,lc,0.8795333333333333
place,0,luyiqin,0.7325333333333334
place,1,luyiqin,0.8426
place,2,luyiqin,0.8858
place,3,luyiqin,0.9074
place,4,luyiqin,0.9204666666666667
place,0,lwk,0.7325333333333334
place,1,lwk,0.8393333333333334
place,2,lwk,0.8796666666666667
place,3,lwk,0.9017333333333334
place,4,lwk,0.9132666666666667
place,0,lxy,0.8513333333333334
place,1,lxy,0.9294
place,2,lxy,0.9537333333333333
place,3,lxy,0.9647333333333333
place,4,lxy,0.9684666666666667
place,0,qdn,0.7623333333333333
place,1,qdn,0.8677333333333334
place,2,qdn,0.9030666666666667
place,3,qdn,0.9235333333333333
place,4,qdn,0.9333333333333333
place,0,wyd,0.8272
place,1,wyd,0.9102
place,2,wyd,0.9362
place,3,wyd,0.9502666666666667
place,4,wyd,0.9572
place,0,wangchen1,87.41
place,1,wangchen1,94.47
place,2,wangchen1,96.51
place,3,wangchen1,97.36
place,4,wangchen1,97.72
place,0,cai,44,71
place,1,cai,57.01
place,2,cai,63.53
place,3,cai,67.73
place,4,cai,70.66
