mode,top,name,accplace,0,wangchen1,0.840625
place,1,wangchen1,0.921875
place,2,wangchen1,0.95
place,3,wangchen1,0.965625
place,4,wangchen1,0.971875
hover,0,wangchen1,0.8606060606060606
hover,1,wangchen1,0.9363636363636364
hover,2,wangchen1,0.9727272727272728
hover,3,wangchen1,0.9878787878787879
hover,4,wangchen1,0.9878787878787879
place,0,cai,0.5238095238095238
place,1,cai,0.6547619047619048
place,2,cai,0.7321428571428571
place,3,cai,0.7708333333333334
place,4,cai,0.7976190476190477
hover,0,cai,0.6884272997032641
hover,1,cai,0.827893175074184
hover,2,cai,0.8753709198813057
hover,3,cai,0.8902077151335311
hover,4,cai,0.9080118694362018
place,0,luyiqin,0.7121212121212122
place,1,luyiqin,0.8393939393939394
place,2,luyiqin,0.8939393939393939
place,3,luyiqin,0.9151515151515152
place,4,luyiqin,0.9424242424242424
hover,0,luyiqin,0.5981873111782477
hover,1,luyiqin,0.716012084592145
hover,2,luyiqin,0.7764350453172205
hover,3,luyiqin,0.824773413897281
hover,4,luyiqin,0.8640483383685801
place,0,fjy,0.6807228915662651
place,1,fjy,0.8373493975903614
place,2,fjy,0.8825301204819277
place,3,fjy,0.8945783132530121
place,4,fjy,0.9246987951807228
hover,0,fjy,0.6517857142857143
hover,1,fjy,0.7857142857142857
hover,2,fjy,0.8273809523809523
hover,3,fjy,0.8660714285714286
hover,4,fjy,0.8898809523809523
place,0,lc,0.7096774193548387
place,1,lc,0.8093841642228738
place,2,lc,0.8533724340175953
place,3,lc,0.8709677419354839
place,4,lc,0.8914956011730205
hover,0,lc,0.7827380952380952
hover,1,lc,0.9047619047619048
hover,2,lc,0.9315476190476191
hover,3,lc,0.9434523809523809
hover,4,lc,0.9523809523809523
