mode,name,char,x,y
place,lwk, ,6.331105371589677,5.357475597584305
place,cai, ,10.234854269024307,5.4658163743916
place,wyd, ,6.692232051957832,5.109517269712806
place,czt, ,6.87585313800642,6.100003140826392
place,gsh, ,4.151256621090898,4.446365979381464
place,lc, ,8.745283095059282,10.33051453723025
place,fsq, ,7.912573484340176,6.677553246756506
place,lxy, ,4.635862259906922,6.4354127243851975
place,fjy, ,9.067186101042424,7.9778030563168905
place,qdn, ,7.4676955766330995,5.662034739211297
place,wangchen1, ,5.007646373570527,2.975999039558797
place,luyiqin, ,5.439797427813909,3.8965325217511553
hover,lwk, ,7.338163082944563,5.577209768778034
hover,cai, ,7.127780382483341,6.576038426472386
hover,wyd, ,7.017750520770734,5.32584182689487
hover,czt, ,7.342714309076511,8.226388142478948
hover,gsh, ,4.866902941104841,5.572870875767174
hover,lc, ,7.899186535123844,6.83654102143262
hover,fsq, ,7.175932005209444,11.289678291182632
hover,lxy, ,7.434868821801786,7.577575063444488
hover,fjy, ,9.706590055408354,8.831880618408567
hover,qdn, ,7.7373885187762514,8.946948203969223
hover,wangchen1, ,7.182577051709241,5.157267436826373
hover,luyiqin, ,9.637566145297326,7.71496109779123
