subject, mode, dx, dy
lwk,place,-1.0844166666666695,7.868000000000009
cai,place,-2.132884615384615,8.400769230769257
wyd,place,3.6385714285714243,-11.533309523809493
czt,place,3.5428974358974408,15.455282051282055
gsh,place,0.9753181818181851,-2.1729393939393873
lc,place,3.266207386363636,13.023366477272745
fsq,place,6.078137931034487,11.235758620689666
lxy,place,8.784583333333337,22.188974358974363
fjy,place,3.686666666666664,-5.76216845878136
qdn,place,0.701706730769228,-10.343016826923034
wangchen1,place,-0.9356798245614115,3.1575657894736935
luyiqin,place,13.876354166666669,-0.04338541666666629
